,Foundation,Type,Stories,Garage,Size,Frame,mi_Cement,mi_Concrete,mi_Steel,mi_Glass,mi_Gypsum,mi_Insulation,mi_Wood,mi_Fibreglass,mi_Sand/Aggregate,mi_Other,mi_Transport/Construction,mi_Tot,gi20_Cement,gi20_Concrete,gi20_Steel,gi20_Glass,gi20_Gypsum,gi20_Insulation,gi20_Wood,gi20_Fibreglass,gi20_Sand/Aggregate,gi20_Other,gi20_Transport/Construction,gi20_Tot,arch
26,Basement,SF,One,Yes,Small,Masonry,77.74276945,887.9737457,12.69215802,9.595040775,25.12560347,4.278793788,50.67698407,78.93495303,242.6953528,22.92210452,0,1412.637506,70.90140574,107.4448232,25.25739446,15.63991646,7.555714614,69.19653199,10.99740364,54.54549491,1.812934286,22.45446876,30.40998954,416.2160776,26
27,Basement,SF,One,No,Small,Masonry,65.47295485,706.915616,10.9258171,8.345867262,21.49318619,4.250091607,43.01400993,56.74051626,202.3627011,18.3742999,0,1137.89506,59.71133483,85.53678954,21.74237603,13.60376364,6.463382312,69.06816436,9.545375283,42.12780828,1.511649377,17.98529928,24.45268511,351.748628,27
28,Basement,SF,Multiple,Yes,Large,Masonry,51.66156754,536.6138809,8.397605994,7.200486362,21.90601481,2.801025266,43.60296468,41.78357695,163.8035719,14.67984612,0,892.4505405,47.1153496,64.93027959,16.71123593,11.73679277,6.5875272,47.64309228,10.3238727,32.42992789,1.223612682,15.35942155,20.32584426,274.3869565,28
29,Basement,SF,Multiple,No,Large,Masonry,45.7605747,447.6714423,7.490755541,6.617538722,20.157741,2.787630915,39.31665351,28.90914335,144.4022918,12.31452802,0,755.4282998,41.73364412,54.16824452,14.90660353,10.78658812,6.061790254,47.58318739,9.513014143,25.82527836,1.07868512,13.12205943,17.31291505,242.09201,29
30,Basement,SF,Multiple,No,Small,Masonry,62.20026584,643.022703,10.27043517,9.985087654,28.99527857,4.104685264,47.00512925,30.23918861,197.6119,16.31026532,0,1049.744939,56.72664244,77.80574707,20.43816598,16.27569288,8.719394552,70.3350789,11.4010498,37.57702626,1.476160893,18.44261566,23.57322574,342.7708002,30
31,Crawlspace,SF,One,Yes,Large,Wood,17.70148876,173.4672658,5.591766856,6.369291201,19.08486113,2.316702077,60.78551649,68.73354462,62.65650666,10.27787128,0,426.9848149,16.14375775,20.98953916,11.12761604,10.38194466,5.739156247,8.693214722,13.87110462,40.94471367,0.468044105,10.7043608,11.64815428,150.7116061,31
32,Crawlspace,SF,One,No,Large,Wood,16.30590218,117.3374307,5.016758564,5.786343562,17.20372293,2.303307726,53.09092945,55.85911102,55.87794324,8.67774318,0,337.4591926,14.87098279,14.19782912,9.983349543,9.431740006,5.173464626,8.633309825,12.20055421,34.34006414,0.417408236,9.007421725,9.361504662,127.6176289,32
33,Crawlspace,SF,One,Yes,Small,Wood,26.35455839,266.3290331,7.613094007,9.595040775,25.12560347,2.823204147,76.74110727,78.93495303,94.25354454,13.47045959,0,601.2405983,24.03535725,32.225813,15.15005707,15.63991646,7.555714614,11.34017775,17.5182135,54.54549491,0.704073978,15.17109383,15.84473905,209.7306514,33
34,Crawlspace,SF,One,No,Small,Wood,23.65972564,170.1064587,6.603817608,8.345867262,21.49318619,2.794501966,62.46613016,56.74051626,81.16435687,10.60272215,0,443.9772828,21.57766978,20.5828815,13.14159704,13.60376364,6.463382312,11.21181012,14.40230492,42.12780828,0.606297746,12.01237675,11.79663586,167.5265279,34
35,Crawlspace,SF,Multiple,Yes,Large,Wood,15.78656278,135.6807606,5.008358904,7.200486362,21.90601481,1.8593133,63.97279546,41.78357695,60.61971479,8.169367551,0,361.9869516,14.39734526,16.41737204,9.966634218,11.73679277,6.5875272,6.332635298,15.43185603,32.42992789,0.452829269,10.32722996,10.96504829,135.0451982,35
36,Crawlspace,SF,Multiple,No,Large,Wood,14.81380033,99.59729525,4.600745245,6.715608299,20.59480945,1.845918948,58.43556127,32.05543057,55.89486857,7.005965113,0,301.560003,13.5101859,12.05127273,9.155483037,10.94644153,6.193224491,6.272730402,14.2290799,26.83743974,0.417534668,9.131559648,9.393871514,118.1388235,36
37,Crawlspace,SF,Multiple,No,Small,Wood,18.62031959,111.8655556,5.913604517,9.985087654,28.99527857,2.435338385,72.29260781,30.23918861,72.41740589,8.381122339,0,361.1455089,16.98173146,13.53573222,11.76807299,16.27569288,8.719394552,8.602116875,17.71991265,37.57702626,0.540958022,12.20747231,11.18291021,155.1110204,37
38,Crawlspace,SF,One,Yes,Large,Masonry,41.65355963,385.5875535,7.69799655,6.369291201,19.08486113,2.977245022,44.06707559,68.73354462,130.8020084,14.47958374,0,721.4527194,37.98804638,46.65609397,15.31901314,10.38194466,5.739156247,33.00541302,9.685267663,40.94471367,0.977091003,13.98169652,16.69496181,231.3733981,38
39,Crawlspace,SF,One,No,Large,Masonry,35.31486836,285.5235029,6.734450692,5.786343562,17.20372293,2.963850671,39.78059641,55.85911102,109.9522886,12.01068575,0,571.1294209,32.20715994,34.54834385,13.40155688,9.431740006,5.173464626,32.94550812,8.87419236,34.34006414,0.821343596,11.60711693,13.42066845,196.7711589,39
40,Crawlspace,SF,One,Yes,Small,Masonry,63.66998927,596.4728849,10.87434506,9.595040775,25.12560347,3.786641026,50.67698407,78.93495303,200.4032294,19.95984189,0,1059.499513,58.06703021,72.17321907,21.63994668,15.63991646,7.555714614,46.80080698,10.99740364,54.54549491,1.497012123,20.12557234,23.6717215,332.7138385,40
41,Crawlspace,SF,One,No,Small,Masonry,51.40017467,415.4147552,9.108004143,8.345867262,21.49318619,3.757938845,43.01400993,56.74051626,160.0705776,15.41203727,0,784.7570674,46.8769593,50.26518538,18.12492825,13.60376364,6.463382312,46.67243934,9.545375283,42.12780828,1.195727215,15.65640286,17.71441707,268.2463889,41
42,Crawlspace,SF,Multiple,Yes,Large,Masonry,44.96674979,395.0193399,7.550289815,7.200486362,21.90601481,2.717491019,43.60296468,41.78357695,143.684018,13.27228814,0,721.7032194,41.00967581,47.79734013,15.02507673,11.73679277,6.5875272,37.91905529,10.3238727,32.42992789,1.073319614,14.25617962,17.14254328,235.301311,42
43,Crawlspace,SF,Multiple,No,Large,Masonry,39.06575694,306.0769013,6.643439362,6.617538722,20.157741,2.704096668,39.31665351,28.90914335,124.2827379,10.90697004,0,584.6809788,35.62797033,37.03530505,13.22044433,10.78658812,6.061790254,37.85915039,9.513014143,25.82527836,0.928392052,12.0188175,14.12961407,203.0063646,43
44,Crawlspace,SF,Multiple,No,Small,Masonry,54.68567447,431.3149185,9.131217184,9.985087654,28.99527857,3.689960841,47.00512925,30.23918861,175.0287273,14.70832324,0,804.7835056,49.87333512,52.18910514,18.1711222,16.27569288,8.719394552,54.78023469,11.4010498,37.57702626,1.307464593,17.14268902,18.88168192,286.3187962,44
45,Pier & Beam,SF,One,No,Large,Wood,5.342492716,53.6707289,13.3415666,5.786343562,17.20372293,2.273114746,69.07149854,55.85911102,25.94925033,6.940618996,0,255.4384483,4.872353357,6.494158197,26.54971754,9.431740006,5.173464626,20.11383783,17.7199138,34.34006414,0.1938409,7.480300865,9.438490277,141.8078815,45
46,Pier & Beam,SF,One,No,Small,Wood,7.792308663,51.46239992,13.29879037,8.345867262,21.49318619,2.658652101,71.80150036,56.74051626,37.84835636,8.08804308,0,279.5296206,7.106585501,6.22695039,26.46459283,13.60376364,6.463382312,20.83589772,17.38396941,42.12780828,0.282727222,9.800689688,10.3312644,160.6276314,46
47,Pier & Beam,SF,Multiple,No,Large,Wood,6.940969167,23.65300962,7.306444946,6.617538722,20.157741,1.785246397,61.19922447,28.90914335,33.71327881,5.415630375,0,195.6982269,6.330163881,2.862014164,14.53982544,10.78658812,6.061790254,11.2122019,15.27896788,25.82527836,0.251838193,7.6671347,8.078952221,108.8947551,47
48,Pier & Beam,SF,Multiple,No,Small,Wood,10.14742703,34.30826661,10.2313327,9.985087654,28.99527857,2.297982303,81.48656044,30.23918861,49.28750271,7.017091682,0,263.9957183,9.25445345,4.15130026,20.36035208,16.27569288,8.719394552,12.19422321,20.88964063,37.57702626,0.368177645,10.96708704,10.38434856,151.1416966,48
49,Pier & Beam,MH,One,No,Large,Wood,0,39.79301087,18.00468653,3.988965704,23.51699543,3.145888596,60.91530204,2.866756954,0,12.28658791,0,164.518194,0,4.814954315,35.8293262,6.502014098,7.071977646,34.79285522,14.67994871,25.32951775,0,26.8978335,10.31218082,166.2306082,59
50,Pier & Beam,MH,One,No,Small,Wood,0,53.72056468,24.07896779,6.564498993,29.62477101,4.16713163,71.90607936,4.612160647,0,15.51847501,0,210.1926491,0,6.500188326,47.91714591,10.70013336,8.908694096,52.17516013,17.4169692,40.75120661,0,31.50391837,12.74872869,228.6221447,60
51,Pile,MF,Multiple,No,Small,Masonry,54.94997641,523.1191897,59.89283293,8.720374978,17.23471428,0.226822967,10.00630177,3.59327088,259.6634232,57.0845283,0,994.4914354,50.11437849,63.29742195,119.1867375,14.21421121,5.166286269,1.014443036,2.993552473,31.74870419,1.939685772,75.01822324,31.75778048,396.4514246,61
